127.0.0.1, 2015-07-04 22:19:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000432
127.0.0.1, 2015-07-04 22:19:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000618
127.0.0.1, 2015-07-04 22:28:56, GET, /admin/default/design/Hello, HTTP/1.1, 200, 0.213929
127.0.0.1, 2015-07-04 22:28:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000457
127.0.0.1, 2015-07-04 22:28:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000617
127.0.0.1, 2015-07-05 19:11:02, GET, /, HTTP/1.1, 303, 0.001359
127.0.0.1, 2015-07-05 19:11:03, GET, /welcome/default/index, HTTP/1.1, 200, 0.602516
127.0.0.1, 2015-07-05 19:11:03, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002120
127.0.0.1, 2015-07-05 19:11:03, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.000772
127.0.0.1, 2015-07-05 19:11:03, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000713
127.0.0.1, 2015-07-05 19:11:03, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000768
127.0.0.1, 2015-07-05 19:11:03, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.003326
127.0.0.1, 2015-07-05 19:11:03, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001429
127.0.0.1, 2015-07-05 19:11:03, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000722
127.0.0.1, 2015-07-05 19:11:03, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000642
127.0.0.1, 2015-07-05 19:11:03, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000683
127.0.0.1, 2015-07-05 19:11:03, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000664
127.0.0.1, 2015-07-05 19:11:03, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000535
127.0.0.1, 2015-07-05 19:11:04, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.012278
127.0.0.1, 2015-07-05 19:11:04, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.012563
127.0.0.1, 2015-07-05 19:11:04, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000705
127.0.0.1, 2015-07-05 19:11:04, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000628
127.0.0.1, 2015-07-05 19:11:04, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000665
127.0.0.1, 2015-07-05 19:11:04, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000694
